year,max_aqi,avg_aqi,aqi100,aqi75
1977,175.0,94.37777777777778,59,137
1978,195.0,22.824675324675326,8,25
1979,100.0,34.330275229357795,0,4
1980,133.0,54.93296089385475,8,21
1981,77.0,35.82022471910113,0,2
1982,80.0,36.83116883116883,0,1
1983,47.0,28.485714285714284,0,0
1984,43.0,8.649122807017545,0,0
1985,20.0,7.457142857142857,0,0
1986,75.0,38.91803278688525,0,0
1987,94.0,36.97159090909091,0,3
1988,112.0,45.016304347826086,6,11
1989,113.0,38.619565217391305,2,3
1990,87.0,31.972826086956523,0,4
1991,125.0,27.27173913043478,1,1
1992,75.0,30.25,0,0
1993,70.0,37.40217391304348,0,0
1994,74.0,34.608695652173914,0,0
1995,53.0,30.891304347826086,0,0
1996,89.0,31.309782608695652,0,1
1997,82.0,28.744565217391305,0,1
1998,86.0,23.333333333333332,0,1
1999,64.0,22.096385542168676,0,0
2000,229.0,29.39673913043478,8,11
2001,72.0,34.96195652173913,0,0
2002,71.0,35.29891304347826,0,0
2003,264.0,34.377049180327866,9,13
2004,85.0,28.058139534883722,0,1
2005,155.0,24.720496894409937,1,3
2006,160.0,29.77777777777778,1,3
2007,159.0,32.71739130434783,3,10
2008,75.0,23.385964912280702,0,0
2009,71.0,30.005464480874316,0,0
2010,86.0,44.625,0,9
2011,116.0,48.53260869565217,3,12
2012,178.0,60.28804347826087,15,29
2013,122.0,48.21195652173913,2,9
2014,157.0,41.89673913043478,2,3
2015,191.0,50.58152173913044,12,17
2016,90.0,44.358695652173914,0,6
2017,593.0,109.7663043478261,43,59
2018,153.0,45.505434782608695,4,13
2019,81.0,32.46739130434783,0,2
2020,176.0,48.84239130434783,10,14
2021,159.0,58.39673913043478,25,40
2022,179.0,48.16304347826087,10,17
2023,117.0,46.22950819672131,3,5
